match_id,date,league,turn,team_1,team_2,goals_1,goals_2,winner,possession_1,possession_2,goal_chances_1,goal_chances_2,shots_on_target_1,shots_on_target_2,shots_off_target_1,shots_off_target_2,offsides_1,offsides_2,goalkeeper_saves_1,goalkeeper_saves_2,fouls_1,fouls_2,attacks_1,attacks_2,dangerous_attacks_1,dangerous_attacks_2,red_cards_1,red_cards_2,bet_1,bet_x,bet_2,team_1_formation,team_2_formation,month,day_of_week,shots_1,shots_2,player_0_team_1,player_0_team_2,player_1_team_1,player_1_team_2,player_2_team_1,player_2_team_2,player_3_team_1,player_3_team_2,player_4_team_1,player_4_team_2,player_5_team_1,player_5_team_2,player_6_team_1,player_6_team_2,player_7_team_1,player_7_team_2,player_8_team_1,player_8_team_2,player_9_team_1,player_9_team_2,player_10_team_1,player_10_team_2
QyFjdmGs,2022-05-14 17:00:00,Tipico Bundesliga,31.0,Ried,LASK,1.0,1.0,0.0,43,57,11.0,10.0,7.0,3.0,4.0,4.0,1.0,0.0,2.0,6.0,12.0,13.0,73.0,126.0,31.5,65.0,0.0,0.0,3.8,3.6,1.9,4 - 4 - 2,3 - 4 - 3,5,5,11.0,7.0,6.6,7.6,7.1,6.5,7.2,6.8,6.9,7.7,7.0,7.3,7.4,6.7,6.5,6.8,7.3,7.2,7.1,7.8,6.6,6.8,7.0,6.8
Y1IbfRpf,2022-05-14 17:00:00,Tipico Bundesliga,31.0,Tirol,Hartberg,4.0,2.0,1.0,36,64,13.0,15.0,6.0,8.0,7.0,6.0,1.0,3.0,6.0,2.0,11.0,6.0,105.0,91.0,40.0,37.0,0.0,0.0,2.08,3.55,3.25,4 - 4 - 2,4 - 3 - 1 - 2,5,5,13.0,14.0,6.8,5.6,6.6,6.4,6.7,6.6,6.7,5.8,6.4,6.1,7.1,6.2,7.4,6.7,6.3,6.3,7.6,6.4,8.6,6.8,7.7,7.0
tAfPOZf9,2022-05-08 17:00:00,Tipico Bundesliga,30.0,Austria Wiedeń,Rapid Wiedeń,1.0,1.0,0.0,58,42,18.0,10.0,5.0,3.0,6.0,4.0,4.0,0.0,2.0,4.0,13.0,18.0,102.0,0.0,59.0,0.0,0.0,1.0,2.46,3.35,2.9,4 - 2 - 3 - 1,4 - 2 - 3 - 1,5,6,11.0,7.0,6.6,7.1,7.2,7.8,6.9,0.0,7.3,7.4,7.9,6.6,6.5,7.1,7.4,7.0,6.9,7.4,7.4,6.4,7.0,6.7,6.5,5.9
YqeLPFu3,2022-05-08 14:30:00,Tipico Bundesliga,30.0,A. Klagenfurt,Sturm Graz,1.0,2.0,2.0,37,63,9.0,23.0,2.0,10.0,3.0,9.0,1.0,7.0,8.0,1.0,7.0,17.0,0.0,102.0,0.0,50.5,1.0,0.0,4.0,3.8,1.85,4 - 3 - 3,4 - 3 - 1 - 2,5,6,5.0,19.0,7.6,6.5,6.4,7.2,6.5,7.2,3.5,7.1,6.5,6.7,7.3,7.3,6.4,7.6,7.1,7.0,6.6,7.0,6.9,8.5,7.4,6.6
fgdHQeQd,2022-05-08 14:30:00,Tipico Bundesliga,30.0,RB Salzburg,Wolfsberger,4.0,0.0,1.0,68,32,26.0,7.0,13.0,1.0,7.0,3.0,3.0,0.0,1.0,9.0,7.0,7.0,144.0,110.0,73.0,50.0,0.0,1.0,1.31,5.8,9.0,4 - 3 - 1 - 2,4 - 3 - 1 - 2,5,6,20.0,4.0,6.8,7.5,6.6,5.7,9.3,6.2,7.3,6.0,7.8,5.5,7.3,3.0,8.0,6.0,8.2,5.9,7.9,6.0,7.3,6.3,9.8,6.1
OSSO0T7Q,2022-05-07 17:00:00,Tipico Bundesliga,30.0,Admira,Tirol,1.0,1.0,0.0,57,43,15.0,16.0,5.0,7.0,9.0,7.0,7.0,3.0,6.0,4.0,11.0,14.0,97.0,99.0,43.0,39.0,0.0,0.0,2.38,3.35,2.9,4 - 2 - 3 - 1,4 - 4 - 2,5,5,14.0,14.0,7.8,7.2,7.4,6.6,6.7,7.0,7.4,7.0,7.3,8.2,6.6,7.5,7.5,7.5,6.8,7.6,7.4,6.9,7.2,6.9,6.7,6.0
6iYJ19hK,2022-05-07 17:00:00,Tipico Bundesliga,30.0,Altach,Ried,1.0,1.0,0.0,58,42,13.0,10.0,3.0,5.0,4.0,2.0,5.0,1.0,4.0,2.0,22.0,8.0,96.0,97.0,42.0,36.0,0.0,0.0,3.05,3.35,2.3,5 - 3 - 2,5 - 3 - 2,5,5,7.0,7.0,7.4,6.6,6.3,7.0,6.8,7.1,7.3,7.3,7.4,7.0,6.6,6.9,6.7,6.9,7.2,7.1,7.0,7.0,7.2,7.5,6.6,8.7
S0ZF2kwE,2022-05-07 17:00:00,Tipico Bundesliga,30.0,LASK,Hartberg,3.0,3.0,0.0,60,40,15.0,8.0,4.0,5.0,9.0,3.0,1.0,4.0,2.0,1.0,11.0,8.0,117.0,91.0,58.0,37.0,0.0,0.0,1.46,4.6,6.4,4 - 2 - 3 - 1,4 - 3 - 1 - 2,5,5,13.0,8.0,6.0,5.9,7.6,6.0,6.7,6.2,7.8,7.0,6.5,6.8,6.5,6.9,7.3,7.4,7.4,7.1,6.0,7.6,8.3,6.4,6.6,6.9
hlIY1Cmd,2022-04-27 18:30:00,Tipico Bundesliga,29.0,Rapid Wiedeń,A. Klagenfurt,2.0,2.0,0.0,68,32,17.0,10.0,7.0,6.0,5.0,1.0,0.0,4.0,4.0,5.0,16.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,1.44,5.0,6.2,4 - 2 - 3 - 1,5 - 4 - 1,4,2,12.0,7.0,5.1,7.1,7.5,7.3,7.0,7.3,7.0,6.9,7.3,7.5,7.7,7.6,6.8,6.6,6.8,6.6,6.6,7.3,6.6,6.9,8.3,6.3
voEU2hYk,2022-04-27 18:30:00,Tipico Bundesliga,29.0,Sturm Graz,RB Salzburg,2.0,1.0,1.0,37,63,9.0,10.0,4.0,4.0,2.0,4.0,1.0,3.0,3.0,2.0,5.0,15.0,130.0,130.0,55.5,64.0,0.0,0.0,4.1,3.65,1.87,4 - 3 - 1 - 2,4 - 3 - 1 - 2,4,2,6.0,8.0,6.8,6.0,7.9,6.6,7.3,7.1,7.8,6.6,7.5,6.5,7.3,7.9,7.4,6.6,6.8,6.7,7.2,6.2,7.4,5.9,8.2,6.6
